"identificador";"nome";"avaliacao"
CCCG;Canadian Conference on Computational Geometry;B2
"10493301";ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION;A2
"19848153";REVISTA GESTÃO & SAÚDE (CURITIBA);nulo
PACTT;International Conference on Parallel Architectures and Compilation Techniques;A2
"23164190";REAVI - REVISTA ELETRÔNICA DO ALTO VALE DO ITAJAÍ;nulo
"1751648X";INTERNATIONAL JOURNAL OF INNOVATIVE COMPUTING AND APPLICATIONS;B4
BIGDATASECURITY;IEEE International Conference on Big Data Security on Cloud;B2
"00189359";IEEE TRANSACTIONS ON EDUCATION;A1
EUSIPCO;European Signal Processing Conference;A3
"15261492";COMPUTER MODELING IN ENGINEERING & SCIENCES;B3
"20499647";JOURNAL OF OPEN RESEARCH SOFTWARE;A2
LAWCG;Latin American Workshop on Cliques in Graphs;B4
"01008307";CIÊNCIA E NATURA;nulo
"2313433X";JOURNAL OF IMAGING;A4
IROS;IEEE/RSJ International Conference on Intelligent Robots and Systems;A1
"21682216";IEEE TRANSACTIONS ON SYSTEMS, MAN, AND CYBERNETICS: SYSTEMS;A1
"17518733";IET MICROWAVES, ANTENNAS & PROPAGATION (ONLINE);nulo
ICNC-FSKD;International Conference on Natural Computation, Fuzzy Systems and Knowledge Discovery;B2
ICDCN;International Conference on Distributed Computing and Networking;A3
"14759217";STRUCTURAL HEALTH MONITORING;A1
QRS;IEEE International Conference on Software Quality, Reliability and Security;B1
IDEAL;International Conference on Intelligent Data Engineering and Automated Learning;B2
ENANPAD;Encontro Nacional da Associação Nacional de Pós-Graduação e Pesquisa em Administração;B2
CSCloud;International Conference on Cyber Security and Cloud Computing;A4
"21764883";EM DEBATE (BELO HORIZONTE);nulo
"1980220X";REVISTA DA ESCOLA DE ENFERMAGEM DA USP;nulo
"02704137";THE PROSTATE (PRINT);A2
HPSR;IEEE High Performance Switching and Routing;B1
"20754701";METALS - OPEN ACCESS METALLURGY JOURNAL;A4
"18269745";INTERACTION DESIGN AND ARCHITECTURE(S) JOURNAL;A2
MOBIQUITOUS;International Conference on Mobile and Ubiquitous Systems: Computing, Networking and Services;B1
"17568919";FUTURE MEDICINAL CHEMISTRY;A3
"17442621";INTERNATIONAL JOURNAL OF METADATA, SEMANTICS AND ONTOLOGIES (PRINT);B1
CMC;International Conference on Concept Mapping;B3
WISM;Workshop on Web Information Systems Modeling;B4
"1435604X";LASERS IN MEDICAL SCIENCE (INTERNET);A2
BRAHUR;Brazilian Humanoid Robot Workshop;B4
IHM;Conférence Francophone sur l’Interaction Homme-Machine;B3
"15198219";REVISTA ELETRÔNICA DE INICIAÇÃO CIENTÍFICA;C
INLG;International Natural Language Generation conference;B2
"14320541";ALGORITHMICA (NEW YORK. INTERNET);A3
"0144929X";BEHAVIOUR & INFORMATION TECHNOLOGY (PRINT);A1
WVC;Workshop de Visão Computacional;B4
ISSREW;IEEE International Symposium on Software Reliability Engineering Workshops;B1
AST;IEEE/ACM International Workshop on Automation of Software Testing;B4
"17418488";INTERNATIONAL JOURNAL OF GRID AND UTILITY COMPUTING (ONLINE);A4
SIGGRAPH Asia;ACM International Conference On Computer Graphics & Interactive Techniques / Asia;A1
"17518814";IET SOFTWARE (ONLINE);nulo
"15345807";DEVELOPMENTAL CELL;A1
TREC;Text Retrieval Conference;A3
TIMBRE;Interdisciplinary Workshop on Timbre;B4
"10969128";CONCURRENCY AND COMPUTATION: PRACTICE & EXPERIENCE;nulo
ATT;International Workshop on Agents in Traffic and Transportation;B4
CADE;International Conference on Automated Deduction;A3
"15730824";MULTIDIMENSIONAL SYSTEMS AND SIGNAL PROCESSING (ONLINE);A2
"08608229";METROLOGIA I SYSTEMY POMIAROWE / METROLOGY AND MEASURING SYSTEMS;A4
"21680620";INTERNATIONAL JOURNAL OF UNDERGRADUATE RESEARCH AND CREATIVE ACTIVITIES;nulo
"18078931";TEMÁTICA;nulo
"13618415";MEDICAL IMAGE ANALYSIS (PRINT);A1
ICECCS;International Conference on Engineering of Complex Computer;B2
GPCE;ACM International Conference on Generative Programming: Concepts and Experiences;B4
"09266003";COMPUTATIONAL OPTIMIZATION AND APPLICATIONS;A2
"15731383";REAL-TIME SYSTEMS (ONLINE);A1
ECOOP;European Conference on Object-Oriented Programming;A3
"20402589";LITERACY INFORMATION AND COMPUTER EDUCATION JOURNAL (LICEJ);nulo
QoMEX;International Workshop on Quality of Multimedia Experience;A3
BIR;International Conferences on Perspectives in Business Informatics Research;B2
"02632241";MEASUREMENT (LONDON. PRINT);A1
NSS;Network and System Security;A4
"10000135";JOURNAL OF THE CHINA SOCIETY FOR SCIENTIFIC AND TECHNICAL INFORMATION;nulo
"09521976";ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE;A1
WAIHCWS;Workshop sobre Aspectos da Interação Humano-Computador para a Web Social;B4
"10112367";ASIAN-AUSTRALASIAN JOURNAL OF ANIMAL SCIENCES (PRINT);A3
WCNCW;IEEE Wireless Communications and Networking Conference Workshops;A4
"03050548";COMPUTERS & OPERATIONS RESEARCH;A1
WGID;Workshop de Gestão de Identidades Digitais;B4
"23274352";JOURNAL OF APPLIED MATHEMATICS AND PHYSICS;nulo
"09759018";INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING & APPLICATIONS (IJSEA);nulo
"19422679";INTERNATIONAL JOURNAL ON ADVANCES IN INTELLIGENT SYSTEMS.;nulo
"1742206X";MOLECULAR BIOSYSTEMS (PRINT);A2
"13865056";INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS;A2
ICTON;International Conference on Transparent Optical Networks;A4
HICSS;Hawaii International Conference on System Sciences;A1
SII;IEEE/SICE International Symposium on System Integration;B1
"09269630";STUDIES IN HEALTH TECHNOLOGY AND INFORMATICS;B3
"19162790";BOTANY (OTTAWA. PRINT);A3
"00380644";SOFTWARE, PRACTICE & EXPERIENCE (PRINT);A3
"09753826";INTERNATIONAL JOURNAL OF COMPUTER SCIENCE AND INFORMATION TECHNOLOGY (ONLINE);nulo
"15177076";MATÉRIA (UFRJ);B3
"19818963";REVISTA DE ENFERMAGEM UFPE ON LINE;nulo
IoTBDS;International Conference on Internet of Things and Big Data and Security;B2
"20760930";INTERNATIONAL JOURNAL OF COMMUNICATION NETWORKS AND INFORMATION SECURITY (PRINT);A4
CONTEXT-BPM;PM - International Workshop on Context for Business Process Management;B4
"21666288";JOURNAL OF INFORMATION AND DATA MANAGEMENT;nulo
"14156229";TECNO-LÓGICA (UNISC);nulo
DEPCOS;ELCOMEX - International Conference on Dependability and Complex Systems;B2
RTIS;International Conference on Real Time Intelligent Systems;B4
"02331934";OPTIMIZATION (PRINT);A3
ASYNC;IEEE International Symposium on Asynchronous Circuits and Systems;B1
POPL;Symposium on Principles of Programming Languages;A1
"21776776";TENDÊNCIAS E TÉCNICAS EM REALIDADE VIRTUAL E AUMENTADA;nulo
ICAPS;International Conference on Automated Planning and Scheduling;A2
"0305215X";ENGINEERING OPTIMIZATION;A2
CONEXT;Conference on Emerging Network Experiment and Technology;A2
"15732878";JOURNAL OF OPTIMIZATION THEORY AND APPLICATIONS (DORDRECHT. ONLINE);A2
"16786483";RACE : REVISTA DE ADMINISTRAÇÃO, CONTABILIDADE E ECONOMIA;nulo
ICDP;International Conference on Imaging for Crime Detection and Prevention;B4
FLAIRS;International Florida Artificial Intelligence Conference;A4
"17411068";INTERNATIONAL JOURNAL OF EMBEDDED SYSTEMS;B3
WCAMA;Workshop de Computação Aplicada à Gestão do Meio Ambiente e Recursos Naturais;B4
SBAI;Simpósio Brasileiro de Automação Inteligente;B4
ISSCC;IEEE International Solid-State Circuits Conference;A1
"22360093";REVISTA JUNIOR DE INICIAÇÃO CIENTÍFICA EM CIÊNCIAS EXATAS E ENGENHARIA;nulo
ICE-CCN;International Conference on Emerging Trends in Computing, Communication and Nanotechnology;B1
"0041624X";ULTRASONICS (GUILDFORD);A1
IEAAIE;International Conference on Industrial Engineering & Other Applications of Appled Intelligence Systems;B2
EIDWT;International Conference on Emerging Intelligent Data and Web Technologies;B2
"18061230";REVISTA BRASILEIRA EM PROMOÇÃO DA SAÚDE (ONLINE);nulo
HEALTHINF;International Conference on Health Informatics;A3
"17495024";SOCIAL COGNITIVE AND AFFECTIVE NEUROSCIENCE (ONLINE);A1
DroNet;Workshop on Micro Aerial Vehicle Networks, Systems, and Applications for Civilian Use;B2
"1475925X";BIOMEDICAL ENGINEERING ONLINE (ONLINE);A3
RAHA;IEEE Internacional Conference on Robotics and Automation for Humanitarian Applications;B4
ENASE;International Conference on Evaluation of Novel Approaches to Software Engineering;B2
"10665277";JOURNAL OF COMPUTATIONAL BIOLOGY;A4
MOBICOM;ACM/IEEE International Conference on Mobile Computing and Networking;A1
"16625196";FRONTIERS IN NEUROINFORMATICS;A2
BigSpatial;ACM SIGSPATIAL International Workshop on Analytics for Big Geospatial Data;B2
"15320626 / EISSN: 15320634";CONCURRENCY AND COMPUTATION;A3
"10970088";INTERNATIONAL JOURNAL OF CLIMATOLOGY;A2
CP;International Conference on Principles and Practice of Constraint Programming;A3
"19252676";JOURNALS: MULTIDISCIPLINARY JOURNALS IN SCIENCE AND TECHNOLOGY;nulo
"02131315";REVISTA INTERNACIONAL DE MÉTODOS NUMÉRICOS PARA CÁLCULO Y DISEÑO EN INGENIERÍA;B2
COLT;Conference on Learning Theory;A1
"02698811";JOURNAL OF PSYCHOPHARMACOLOGY (OXFORD);A1
"01672789";PHYSICA. D, NONLINEAR PHENOMENA (PRINT);A1
"22375112";REVISTA DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO;nulo
SBMF;Brazilian Symposium on Formal Methods;A4
CONFIRM;International Conference on Information Resources Management;B4
"14752875";MALARIA JOURNAL (ONLINE);A2
"17461375";INTERNATIONAL JOURNAL OF AGENT-ORIENTED SOFTWARE ENGINEERING (PRINT);nulo
"00036870";APPLIED ERGONOMICS;A1
"09639969";FOOD RESEARCH INTERNATIONAL;A1
ICLR;International Conference on Learning Representations;A1
"18759521";ENTERTAINMENT COMPUTING;A3
"19808178";REVISTA DE PATOLOGIA TROPICAL (ONLINE);B4
"03784371";PHYSICA. A (PRINT);A1
"11372729";REVISTA IBEROAMERICANA DE INGENIERÍA MECÁNICA;nulo
"20545703";ROYAL SOCIETY OPEN SCIENCE;A1
NLPCS;International Workshop on Natural Language Processing and Cognitive Science;B4
CEDEM;International Conference for E-Democracy and Open Government;B4
"23174889";BRAZILIAN JOURNAL OF GEOLOGY;A3
CBI;IEEE Conference on Business Informatics;A4
DSC;IEEE Conference on Dependable and Secure Computing;B3
"00457930";COMPUTERS & FLUIDS;A1
"17567025";INTERNATIONAL JOURNAL OF INFORMATION AND DECISION SCIENCES;B1
"10220038";WIRELESS NETWORKS;A2
SOFSEM;International Conference on Current Trends in Theory and Practice of Computer Science;B2
"15461955";JOURNAL OF COMPUTATIONAL AND THEORETICAL NANOSCIENCE;B3
EuroParW;Parallel Processing Workshops;B2
Humanoids;IEEE RAS International Conference on Humanoid Robot;A2
POST;International Conference on Principles of Security and Trust;A4
"15498328";IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS. I, REGULAR PAPERS (PRINT);A2
ICIG;International Conference on Image and Graphics;B2
CONTECSI;International Conference on Information Systems and Technology Management;B3
"19347332";COMPUTER TECHNOLOGY AND APPLICATION;nulo
WBMA;Workshop Brasileiro de Métodos Ágeis;B4
WAPCO;Workshop on Approximate Computing;B3
PSB;Pacific Symposium on Biocomputing;A3
"15455971";IEEE TRANSACTIONS ON DEPENDABLE AND SECURE COMPUTING;A1
"0010938X";CORROSION SCIENCE;A1
IWPSE;International Workshop on Principles of Software Evolution;B3
RAMS;Annual Reliability and Maintainability Symposium;B2
"3DV";International Conference on 3D Vision;A2
WHISPERS;Workshop on Hyperspectral Image and Signal Processing: Evolution in Remote Sensing;B1
"03770257";JOURNAL OF NON-NEWTONIAN FLUID MECHANICS (PRINT);A1
"03043940";NEUROSCIENCE LETTERS (PRINT);B1
"22496645";INTERNATIONAL JOURNAL OF MODERN ENGINEERING RESEARCH;nulo
SIGCSE;ACM Technical Symposium on Computer Science Education;A2
ICIIECS;International Conference on Innovations in Information, Embedded and Communication Systems;B2
"15392791";NEUROINFORMATICS (TOTOWA);A1
DCC;Data Compression Conference;A3
"14778386";INTERNATIONAL JOURNAL OF LEARNING TECHNOLOGY (PRINT);B1
AIIDE;AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment;A3
DMNPL;Workshop on Interactions between Data Mining and Natural Language Processing;B4
ASMS;Advanced Satellite Multimedia Systems Conference;B1
UAI;Conference on Uncertainty in Artificial Intelligence;A2
"15734064";MEDICINAL CHEMISTRY (HILVERSUM);B1
"03630129";SIAM JOURNAL ON CONTROL AND OPTIMIZATION (PRINT);A2
NIME;International Conference on New Interfaces for Musical Expression;A3
"24481904";REVISTA COMING - COMMUNICATIONS AND INNOVATIONS GAZETTE;nulo
"00222488";JOURNAL OF MATHEMATICAL PHYSICS;A4
WETSOM;International Workshop on Emerging Trends in Software Metrics;B2
CIBCB;IEEE Conference on Computational Intelligence in Bioinformatics and Computational Biology;A4
"03743535";JOURNAL OF ELASTICITY;A3
"03233847";BIOMETRICAL JOURNAL (1977);A3
COG;IEEE Conference on Games;A3
UBICOMM-IARIA;IARIA International Conference on Mobile Ubiquitous Computing, Systems, Services and Technologies;B4
"1560229X";JOURNAL OF ELECTRONIC IMAGING (ONLINE);B1
"23304472";INTERNATIONAL JOURNAL OF SERVICES COMPUTING;nulo
"09587578";TRANSFUSION MEDICINE (PRINT);A4
WDES;Workshop de Desenvolvimento Distribuído de Software;B4
"01200976";REVISTA INTERAMERICANA DE BIBLIOTECOLOGIA;B2
ICT;International Conference on Telecommunications;A4
"21926670";NETWORK MODELING ANALYSIS IN HEALTH INFORMATICS AND BIOINFORMATICS;B1
ACE-X;International Conference on Advanced Computational Engineering and Experimenting;B4
"0308521X";AGRICULTURAL SYSTEMS;A1
ACC;American Control Conference;A1
"21616809";WORLD JOURNAL OF NUCLEAR SCIENCE AND TECHNOLOGY;nulo
ESOP;European Symposium on Programming;A2
"21642826";SCIENTIFIC JOURNAL OF EDUCATION TECHNOLOGY;nulo
NLDB;International Conference on Application of Natural Language to Information Systems;B1
ICUAS;International Conference on Unmanned Aircraft Systems;A2
"19162804";BOTANY (OTTAWA. ONLINE);A3
PAM;Passive and Active Network Measurement Conference;A2
"00043702";ARTIFICIAL INTELLIGENCE (GENERAL ED.);A1
SciVis;IEEE Scientific Visualization;B3
"22310843";BRITISH JOURNAL OF APPLIED SCIENCE & TECHNOLOGY;nulo
"1664042X";FRONTIERS IN PHYSIOLOGY;A4
"19475500";INTERNATIONAL JOURNAL OF COMPUTER SCIENCE AND INFORMATION SECURITY;nulo
LARS/SBR;Simpósio Brasileiro de Robótica;B1
"15524922";CYTOMETRY. PART A;A2
IbPRIA;Iberian Conference on Pattern Recognition and Image Analysis;B2
"14138123";CIENCIA E SAUDE COLETIVA;B1
"09259902";JOURNAL OF INTELLIGENT INFORMATION SYSTEMS;A3
ICDSP;IEEE International Conference on Digital Signal Processing;A4
"02197499";INTERNATIONAL JOURNAL OF QUANTUM INFORMATION;B2
SIMBig;ANNUAL INTERNATIONAL SYMPOSIUM ON INFORMATION MANAGEMENT AND BIG DATA;B4
"00207128";INTERNATIONAL JOURNAL OF BIOMETEOROLOGY (PRINT);A2
"15181944";REVISTA ELETRÔNICA DE ENFERMAGEM;nulo
"23750790";JOURNAL OF EDUCATION & SOCIAL POLICY;nulo
"15723127";STATISTICAL METHODOLOGY;B1
"01678094";ORDER (DORDRECHT);B1
LIDTA;Workshop on Learning with Imbalanced Domains: Theory and Applications;B4
BTAS;IEEE International Conference on Biometrics: Theory, Applications, and Systems;A3
"13557718";ORGANISED SOUND (PRINT);A2
"21769036";REVISTA AMBIENTE CONTÁBIL;nulo
"13826905";JOURNAL OF COMBINATORIAL OPTIMIZATION;A2
TSD;International Conference on Text, Speech and Dialogue;B1
ISBRA;International Symposium on Bioinformatics Research and Applications;A4
"02638223";COMPOSITE STRUCTURES;A1
"22116753";SPATIAL STATISTICS;A3
HCI3P;Workshop on Human Computer Interaction in Third Places;B4
AAMAS;International Conference on Autonomous Agents and Multiagent Systems;A1
ICCRTS;International Command and Control Research and Technology Symposium;B4
"22372903";REVISTA DE SISTEMAS E COMPUTAÇÃO - RSC;nulo
"23596082";REVISTA EMREDE - REVISTA DE EDUCAÇÃO À DISTÂNCIA;nulo
DCAI;International Symposium on Distributed Computing and Artificial Intelligence;B2
"10705325";NUMERICAL LINEAR ALGEBRA WITH APPLICATIONS;A1
ARCS;International Conference on Architecture of Computing Systems;B1
SECRYPT;International Conference on Security and Cryptography;B1
"00039861";ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS (PRINT);A2
EuroMPI;European MPI Users Group Meeting;B1
"21775052";REVISTA COOPEX;nulo
"00219045";JOURNAL OF APPROXIMATION THEORY (PRINT);A2
EA;International Conference on Artificial Evolution;B3
"08891575";JOURNAL OF FOOD COMPOSITION AND ANALYSIS (PRINT);A2
VLSID;International Conference on VLSI Design;A4
TABLETOPS;International Conference on Interactive Tabletops and Surfaces;A3
"14712164";BMC GENOMICS;A2
"0951192X";INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING (PRINT);A2
MODELS;International Conference on Model Driven Engineering Languages and Systems;A3
PRIB;IAPR International Conference on Pattern Recognition in Bioinformatics;B3
ICIS;International Conference on Information Systems;A2
ESELAW;Workshop Latinoamericano de Ingeniería de Software Experimental;B4
DIS;Conference on Designing Interactive Systems;A2
"16795954";REVISTA DA ABENO;nulo
URSW;International Workshop on Uncertainty Reasoning for the Semantic Web;B4
"19315775";NCSL INTERNATIONAL MEASURE: THE JOURNAL OF MEASUREMENT SCIENCE;nulo
SACMAT;ACM Symposium on Access Control Models and Technologies;B1
APCCAS;IEEE Asia Pacific Conference on Circuits and Systems;B3
"20103689";INTERNATIONAL JOURNAL OF INFORMATION AND EDUCATION TECHNOLOGY;B4
"07187912";CHILEAN JOURNAL OF STATISTICS;nulo
"23175087";GESTÃO E CONEXÕES;nulo
"23200243";INTERNATIONAL JOURNAL OF ADVANCED REMOTE SENSING AND GIS;nulo
"2179460X";CIÊNCIA E NATURA;nulo
INOC;International Network Optimization Conference;B3
EDM;International Conference on Educational Data Mining;A2
MFI;IEEE International Conference on Multisensor Fusion and Integration for Intelligent Systems;B1
ICDF;IFIP International Conference on Digital Forensics;B3
RCIS;International Conference on Research Challenges in Information Science;A4
"15382931";COMPUTERS, INFORMATICS, NURSING (PRINT);A4
EPIA;Portuguese Conference on Artificial Intelligence;B2
"15566072";IEEE VEHICULAR TECHNOLOGY MAGAZINE;A1
"01674412";PLANT MOLECULAR BIOLOGY;A1
"09535438";INTERACTING WITH COMPUTERS;A4
"01989715";COMPUTERS, ENVIRONMENT AND URBAN SYSTEMS;A1
KDIR;International Conference on Knowledge Discovery and Information Retrieval;B2
"19380194";INTERNATIONAL JOURNAL OF WEB PORTALS;B3
"16875176";EURASIP JOURNAL ON IMAGE AND VIDEO PROCESSING (PRINT);A4
"15457362";INTERNATIONAL JOURNAL OF WEB SERVICES RESEARCH;B1
"21693277";PRODUCTION & MANUFACTURING RESEARCH;A3
MCDM;International Conference on Multiple Criteria Decision Making;B4
"20137087";JOURNAL OF ACCESSIBILITY AND DESIGN FOR ALL;A3
IGARSS;IEEE International Geoscience and Remote Sensing Symposium;A3
"19365233";TRANSLATIONAL ONCOLOGY (ONLINE);A3
VarDial;Workshop on NLP for Similar Languages, Varieties and Dialects;B1
"10009000";JOURNAL OF COMPUTER SCIENCE AND TECHNOLOGY;A3
WNAA;Workshop de Nanotecnologia Aplicada ao Agronegócio;B4
UAHCI;International Conference Universal Access in Human-Computer Interaction;A4
"22797254";EUROPEAN JOURNAL OF REMOTE SENSING;A2
"01005405";SUMMA PHYTOPATHOLOGICA (IMPRESSO);B3
CATA;International Conference on Computers and their Applications;B4
"19313357";JOURNAL OF USABILITY STUDIES;nulo
"2278067X";INTERNATIONAL JOURNAL OF ENGINEERING RESEARCH AND DEVELOPMENT;nulo
IWCS;International Workshop on Computational Semantics;A3
"18616410";INTERNATIONAL JOURNAL OF COMPUTER ASSISTED RADIOLOGY AND SURGERY (PRINT);A2
"10557148";INTERNATIONAL JOURNAL OF NETWORK MANAGEMENT;A4
SoWeMi;International Workshop on Mining the Social Web;B4
UKSIM;International Conference on Computer Modelling and Simulation;B1
ACM CCS;ACM Symposium on Computer and Communications Security;A1
"10429832";RANDOM STRUCTURES & ALGORITHMS (PRINT);A2
"00189499";IEEE TRANSACTIONS ON NUCLEAR SCIENCE;A2
IWSECO;International Workshop on Software Ecosystems;B2
"01676423";SCIENCE OF COMPUTER PROGRAMMING (PRINT);A4
"09487921";ELECTRICAL ENGINEERING (BERLIN. PRINT);A3
"21514178";JOURNAL OF RURAL SOCIAL SCIENCES;nulo
OM;International Workshop on Ontology Matching;A4
"09204105";JOURNAL OF PETROLEUM SCIENCE & ENGINEERING;A2
"08952477";MICROWAVE AND OPTICAL TECHNOLOGY LETTERS (PRINT);A4
HPG;High-Performance Graphics;B1
IEEE S&P;IEEE Symposium on Security and Privacy;A1
"21951721";JOURNAL OF SOFTWARE ENGINEERING RESEARCH AND DEVELOPMENT;nulo
MLSP;IEEE International Workshop on Machine Learning for Signal Processing;A4
"1678765X";REVISTA DIGITAL DE BIBLIOTECONOMIA E CIÊNCIA DA INFORMAÇÃO;B2
"15591662";ACM SIGMOBILE MOBILE COMPUTING AND COMMUNICATIONS REVIEW;nulo
"0168583X";NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH. SECTION B, BEAM INTERACTIONS WITH MATERIALS AND ATOMS (PRINT);A4
MATES;German Conference on Multiagent System Technologies;B2
LATIN;Latin American Symposium on Theoretical Informatics;A4
"22142134";JOURNAL OF INFORMATION SECURITY AND APPLICATIONS;A2
DSP;International Conference on Digital Signal Processing;A4
CMSB;International Conference on Computational Methods in Systems Biology;B1
ICCP;IEEE International Conference on Intelligent Computer Communication and Processing;B1
"18069649";GESTÃO & PRODUÇÃO;nulo
LATS;IEEE Latin American Test Symposium;B2
IWSG;International Workshop on Science Gateways;B3
"16627482";APPLIED MECHANICS AND MATERIALS;nulo
"09638687";JOURNAL OF STRATEGIC INFORMATION SYSTEMS;A1
EDCC;European Dependable Computing Conference;B1
"23308001";HUMAN COMPUTATION;nulo
"09110119";GRAPHS AND COMBINATORICS;B1
"10709932";IEEE ROBOTICS & AUTOMATION MAGAZINE;A2
"07488017";QUALITY AND RELIABILITY ENGINEERING INTERNATIONAL (PRINT);A2
ICSNC-IARIA;IARIA International Conference on Systems and Networks Communications;B4
WPerformance;Workshop em Desempenho de Sistemas Computacionais e de Comunicação;B4
MSI;International Conference on Modelling, Simulation and Identification;B4
"19849001";REVISTA BRASILEIRA DE FÍSICA MÉDICA (ONLINE);nulo
ICST;International Conference on Sensing Technology;B2
"17427185";INTERNATIONAL JOURNAL OF COMPUTATIONAL SCIENCE AND ENGINEERING;B1
"10623701";THE JOURNAL OF IMAGING SCIENCE AND TECHNOLOGY;B1
"21759146";JOURNAL OF AEROSPACE TECHNOLOGY AND MANAGEMENT (ONLINE);B1
ICMA;IEEE International Conference on Mechatronics and Automation;A4
"16467078";REVISTA DA ASSOCIAÇÃO PORTUGUESA DE ANÁLISE EXPERIMENTAL DE TENSÕES;nulo
"08908044";IEEE NETWORK;A1
"19846398";REVISTA BRASILEIRA DE LINGUISTICA APLICADA;B2
"21756236";EDUCACAO E REALIDADE;B4
DMA;International Conference on Data Mining and Applications;A4
ISAP;International Conference on Intelligent System Applications to Power Systems;B3
VEM;Workshop on Software Visualization, Evolution and Maintenance;B1
BCB;ACM International Conference on Bioinformatics and Computational Biology and Health Informatics;A4
"02681900";INTERNATIONAL JOURNAL OF MATERIALS & PRODUCT TECHNOLOGY;B1
"00222623";JOURNAL OF MEDICINAL CHEMISTRY;A1
"00283045";NETWORKS (NEW YORK, N.Y. PRINT);A3
ISDEVEL;International Conference on Information Systems Development;B3
"00304018";OPTICS COMMUNICATIONS (PRINT);A3
CVPR;IEEE Conference on Computer Vision and Pattern Recognition;A1
CBMI;International Workshop on Content-Based Multimedia Indexing;B1
IH&MMSec;ACM Workshop on Information Hiding and Multimedia Security;A4
"23941065";INTERNATIONAL JOURNAL OF COMPUTER SYSTEMS;nulo
"08927553";JOURNAL OF INSECT BEHAVIOR;A4
"19842430";GEPROS. GESTÃO DA PRODUÇÃO, OPERAÇÕES E SISTEMAS (ONLINE);nulo
ISC;International Conference on Information Security;A4
GIS;ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems;A2
"15220540";SOFTWARE QUALITY PROFESSIONAL;nulo
"16785150";PESQUISA VETERINÁRIA BRASILEIRA (ONLINE);B1
"09757252";INTERNATIONAL JOURNAL OF NEXT-GENERATION NETWORKS;nulo
SYSMUS;International Conference of Students of Systematic Musicology;B4
ERLANG;ACM SIGPLAN Erlang Workshop;B3
"00143057";EUROPEAN POLYMER JOURNAL;A1
"02698889";KNOWLEDGE ENGINEERING REVIEW (PRINT);A4
"15604292";INTERNATIONAL JOURNAL OF ARTIFICIAL INTELLIGENCE IN EDUCATION (PRINT);A1
"15407993";IEEE SECURITY & PRIVACY;A1
SI3D;ACM Symposium on Interactive 3D Graphics and Games;A3
IHC;Simpósio Brasileiro sobre Fatores Humanos em Sistemas Computacionais;A4
"16174909";PERSONAL AND UBIQUITOUS COMPUTING (PRINT);A2
"1062936X";SAR AND QSAR IN ENVIRONMENTAL RESEARCH (PRINT);A4
ICAR;International Conference on Advanced Robotics;A3
"01030752";BRAZILIAN JOURNAL OF PROBABILITY AND STATISTICS;B2
ISAM;IEEE International Symposium on Assembly and Manufacturing;B3
SYSTOL;Conference on Control and Fault-Tolerant Systems;A4
DBSec;IFIP WG 11.3 Conference on Data and Applications Security and Privacy;B1
WOLLIC;International Workshop on Logic, Language, Information and Computation;B2
SBPO;Simpósio Brasileiro de Pesquisa Operacional;B3
NEW2AN;International Conference on Internet of Things, Smart Spaces, and Next Generation Networks and Systems;B4
"1793351X";INTERNATIONAL JOURNAL OF SEMANTIC COMPUTING;A2
VRST;ACM Symposium on Virtual Reality Software and Technology;A3
"17558794";BMC MEDICAL GENOMICS;B1
"22383603";COMPUTATIONAL AND APPLIED MATHEMATICS;A4
"13891286";COMPUTER NETWORKS (1999);A1
"15249050";IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS (PRINT);A1
AHS;NASA/ESA Conference on Adaptive Hardware and Systems;B2
ICGTT;International Conference on Graph Transformation;B1
WoSiDA;WORKSHOP ON AUTONOMIC DISTRIBUTED SYSTEMS;B4
ESCIENCE;cience - IEEE International Conference on e-Science;A3
BMEI;International Conference BioMedical Engineering and Informatics;B2
AIML;Advances in Modal Logic;B3
"19237324";JOURNAL OF UBIQUITOUS SYSTEMS AND PERVASIVE NETWORKS (PRINT);nulo
"09760962";INTERNATIONAL JOURNAL OF COMPUTATIONAL LINGUISTICS AND APPLICATIONS;nulo
Q2SWinet;ACM Symposium on QoS and Security for Wireless and Mobile Networks;B3
"1392124X";INFORMACINÉS TECHNOLOGIJOS IR VALDYMAS;B1
"20452322";SCIENTIFIC REPORTS;A1
WVIS;Workshop on Visual Analytics, Information Visualization and Scientific Visualization;B4
DCM;International Workshop on Developments in Computational Models;B4
"14332833";INTERNATIONAL JOURNAL ON DOCUMENT ANALYSIS AND RECOGNITION (PRINT);A3
"22360158";REVISTA DE ENSINO DE ENGENHARIA;nulo
FTC;Future Technologies Conference;B1
TVX;International Conference on Interactive Experiences for Television and Online Video;B1
ICCL2;International Conference on Computational Logistics;B2
